look,смотреть
pick,выбирать
pie,пирог
window,окно
balance,баланс
bacon,бекон
litre,литр
fourteen,четырнадцать
rid,избавлять
somebody,кто-то
news,новость
brave,храбрый
blue,синий
bring,приносить
handsome,красивый
return,вернуть
exercise,упражнение
gap,пробел
metre,метр
against,против
defense,защита
heart,сердце
child,ребенок
storm,буря
deep,глубокий
royal,королевский
case,дело
unbelievable,невероятный
guilty,виновный
forth,далее
pan,кастрюля
noun,существительное
funny,смешной
planning,планирование
such,подобный
half,половина
prince,царевич
park,парк
ability,способность
wish,желание
anytime,в любое время
difficult,трудный
eighteen,восемнадцать
read,читать
pigeon,голубь
husband,муж
flight,полет
point,точка
yours,твой
interview,интервью
record,запись
wing,крыло
tomorrow,завтра
soul,душа
perform,выполнять
made,сделанный
porridge,овсяная каша
almost,почти
fantastic,фантастический
honestly,честно
later,позже
moment,момент
football,футбол
lord,Господь
tradition,традиция
trust,доверие
joke,шутка
everyday,повседневный
morning,утро
raspberry,малина
stupid,глупый
launch,запуск
remind,напоминать
meet,встречать
sleep,сон
sexy,чувственный
join,присоединиться
towel,полотенце
service,обслуживание
village,деревня
okay,окей
run,бежать
pay,платить
tip,кончик
anyway,в любом случае
young,юный
explanation,объяснение
key,ключ
earn,зарабатывать
main,главный
magic,магия
journey,путешествие
autumn,осень
move,двигаться
answer,ответ
affair,дело
phone,телефон
men,мужчины
style,стиль
captain,капитан
habit,привычка
many,много
uncle,дядя
supply,поставка
aggravation,ухудшение
anyone,никто
four,четыре
depend,зависеть
reason,причина
sonny,сынок
assistant,помощник
card,карта
event,событие
map,карта
helpful,полезный
Archaic,архаичный
person,человек
office,офис
jury,присяжные
single,одиночный
lost,потерянный
lucky,удачливый
stronger,более сильный
crime,преступление
basket,корзина
march,март
lavatory,туалет
useless,бесполезный
pertinent,уместный
bye,пока
cool,крутой
national,национальный
doubt,сомнение
attractive,привлекательный
bee,пчела
yard,двор
next,следующий
pure,чистый
as,как
western,западный
beg,умолять
angry,сердитый
hope,надеяться
exciting,захватывающий
lunch,обед
argue,спорить
a,ля
yellow,желтый
three,три
nail,ноготь
at,на
whatsoever,любой
someday,наступить
instead,вместо
name,имя
covered,покрытый
eight,восемь
Sunday,воскресенье
above,выше
wage,заработная плата
found,найдено
bank,банк
whereas,поскольку
grade,класс
buddy,дружище
square,площадь
same,одинаковый
familiar,знакомый
thousand,тысяча
whip,кнут
addition,дополнение
wake,просыпаться
base,база
wooden,деревянный
hello,привет
cheese,сыр
write,писать
cleaning,уборка
happy,счастливый
bomb,бомба
music,музыка
settled,установившийся
among,среди
wander,бродить
bear,медведь
wool,шерсть
which,который
roof,крыша
early,ранний
shift,сдвиг
pretty,хорошенький
tough,жесткий
package,пакет
amount,сумма
ward,палата
reality,реальность
belong,принадлежать
workshop,мастерская
room,комната
pizza,пицца
angel,ангел
plate,тарелка
girl,девочка
tape,лента
laid,проложенный
angle,угол
wardrobe,гардероб
attitude,отношение
block,блок
kilometre,километр
money,деньги
powerful,мощный
nick,ник
trapped,захваченный
sir,сэр
count,считать
disease,болезнь
animal,животное
weakness,слабость
advantage,преимущество
largely,в основном
left,левый
fake,подделка
ran,побежал
male,мужчина
chat,болтать
show,показывать
college,колледж
bust,бюст
appear,появиться
wealth,богатство
grandfather,дедушка
lunchtime,обеденное время
tonight,сегодняшний вечер
opening,открытие
war,война
tour,тур
signal,сигнал
already,уже
boyfriend,бойфренд
staircase,лестница
apple,яблоко
web,сеть
sold,распроданный
link,ссылка
real,реальный
sally,Салли
forgive,прощать
charming,очаровательный
cup,чашка
may,мочь
alarm,тревога
art,искусство
website,вебсайт
grandma,бабуля
follow,следовать
son,сын
eventually,в итоге
jail,тюрьма
dawn,рассвет
opportunity,возможность
object,объект
speech,речь
white,белый
grateful,благодарный
frank,Фрэнк
fellow,товарищ
sooner,рано
massive,массивный
Chinese,китайский
king,король
objection,возражение
issue,вопрос
fast,быстрый
usual,обычный
sent,отправленный
apology,извинение
plenty,множество
narrow,узкий
campaign,кампания
impossible,невозможный
obligation,обязательство
final,окончательный
word,слово
burn,жечь
city,город
anger,гнев
extra,дополнительный
native,родной
book,книга
observation,наблюдение
result,результат
food,еда
fabulous,потрясающий
address,адрес
dream,мечта
honeymoon,медовый месяц
attack,атака
naughty,непослушный
machine,машина
observe,наблюдать
code,код
none,никто
vision,видение
within,внутри
protect,защищать
wet,мокрый
ground,земля
nearby,поблизости
waste,отходы
obtain,получать
research,исследование
drive,водить
member,участник
twenty,двадцать
bail,залог
whose,чья
neighbour,сосед
simply,просто
pretend,притворяться
occasion,случай
nowhere,нигде
work,работа
battle,битва
class,класс
parking,парковка
weekend,выходные
net,сеть
skin,кожа
danger,опасность
occupy,занимать
escape,побег
marry,жениться
term,срок
surprise,сюрприз
hung,подвешенный
matter,вопрос
network,сеть
often,часто
occur,происходить
biggest,наибольший
light,свет
devil,дьявол
turn,очередь
forever,навсегда
protection,защита
wrote,написал
nicely,мило
fifteen,пятнадцать
ocean,океан
restaurant,ресторан
test,тест
what,что
